日付,店舗名,売上金額,客数
2025-01-01,池袋店,148064,80
2025-01-02,池袋店,125111,67
2025-01-03,池袋店,135345,73
2025-01-04,池袋店,156399,84
2025-01-05,池袋店,198645,107
2025-01-06,池袋店,115069,62
2025-01-07,池袋店,132904,71
2025-01-08,池袋店,126590,68
2025-01-09,池袋店,120633,65
2025-01-10,池袋店,153391,83
2025-01-11,池袋店,194476,105
2025-01-12,池袋店,159550,86
2025-01-13,池袋店,114477,62
2025-01-14,池袋店,121794,65
2025-01-15,池袋店,134120,72
2025-01-16,池袋店,122495,66
2025-01-17,池袋店,151928,82
2025-01-18,池袋店,197409,106
2025-01-19,池袋店,172705,93
2025-01-20,池袋店,100455,54
2025-01-21,池袋店,121021,65
2025-01-22,池袋店,120272,65
2025-01-23,池袋店,156675,84
2025-01-24,池袋店,136683,74
2025-01-25,池袋店,190205,103
2025-01-26,池袋店,198540,107
2025-01-27,池袋店,101657,55
2025-01-28,池袋店,130327,70
2025-01-29,池袋店,127685,69
2025-01-30,池袋店,121312,65
2025-01-31,池袋店,152387,82
2025-02-01,池袋店,177000,95
2025-02-02,池袋店,165760,89
2025-02-03,池袋店,86537,46
2025-02-04,池袋店,109401,59
2025-02-05,池袋店,114077,61
2025-02-06,池袋店,127116,68
2025-02-07,池袋店,122922,66
2025-02-08,池袋店,177579,96
2025-02-09,池袋店,151654,82
2025-02-10,池袋店,106511,57
2025-02-11,池袋店,113285,61
2025-02-12,池袋店,104710,56
2025-02-13,池袋店,113157,61
2025-02-14,池袋店,119228,64
2025-02-15,池袋店,152937,82
2025-02-16,池袋店,132619,71
2025-02-17,池袋店,87739,47
2025-02-18,池袋店,101990,55
2025-02-19,池袋店,110954,60
2025-02-20,池袋店,122908,66
2025-02-21,池袋店,131173,71
2025-02-22,池袋店,176739,95
2025-02-23,池袋店,155203,84
2025-02-24,池袋店,111064,60
2025-02-25,池袋店,112671,61
2025-02-26,池袋店,107588,58
2025-02-27,池袋店,125274,67
2025-02-28,池袋店,135971,73
2025-03-01,池袋店,147769,80
2025-03-02,池袋店,185373,100
2025-03-03,池袋店,119590,64
2025-03-04,池袋店,134643,72
2025-03-05,池袋店,116507,63
2025-03-06,池袋店,123406,66
2025-03-07,池袋店,136749,74
2025-03-08,池袋店,148221,80
2025-03-09,池袋店,157423,85
2025-03-10,池袋店,112765,61
2025-03-11,池袋店,120587,65
2025-03-12,池袋店,128040,69
2025-03-13,池袋店,108472,58
2025-03-14,池袋店,121038,65
2025-03-15,池袋店,163348,88
2025-03-16,池袋店,145417,78
2025-03-17,池袋店,120141,65
2025-03-18,池袋店,120887,65
2025-03-19,池袋店,108597,58
2025-03-20,池袋店,122385,66
2025-03-21,池袋店,138588,75
2025-03-22,池袋店,158776,86
2025-03-23,池袋店,164141,88
2025-03-24,池袋店,109750,59
2025-03-25,池袋店,121709,65
2025-03-26,池袋店,139387,75
2025-03-27,池袋店,135730,73
2025-03-28,池袋店,141611,76
2025-03-29,池袋店,176594,95
2025-03-30,池袋店,167251,90
2025-03-31,池袋店,110379,59
2025-04-01,池袋店,140793,76
2025-04-02,池袋店,145276,78
2025-04-03,池袋店,150346,81
2025-04-04,池袋店,139242,75
2025-04-05,池袋店,157153,85
2025-04-06,池袋店,156747,84
2025-04-07,池袋店,108759,58
2025-04-08,池袋店,137113,74
2025-04-09,池袋店,151099,81
2025-04-10,池袋店,117290,63
2025-04-11,池袋店,120890,65
2025-04-12,池袋店,157124,85
2025-04-13,池袋店,163101,88
2025-04-14,池袋店,97104,52
2025-04-15,池袋店,148773,80
2025-04-16,池袋店,132971,72
2025-04-17,池袋店,141544,76
2025-04-18,池袋店,119108,64
2025-04-19,池袋店,196020,106
2025-04-20,池袋店,149375,80
2025-04-21,池袋店,116701,63
2025-04-22,池袋店,141403,76
2025-04-23,池袋店,128811,69
2025-04-24,池袋店,122456,66
2025-04-25,池袋店,121677,65
2025-04-26,池袋店,193516,104
2025-04-27,池袋店,189395,102
2025-04-28,池袋店,120710,65
2025-04-29,池袋店,124630,67
2025-04-30,池袋店,135621,73
2025-05-01,池袋店,140370,76
2025-05-02,池袋店,145074,78
2025-05-03,池袋店,169058,91
2025-05-04,池袋店,162673,88
2025-05-05,池袋店,128652,69
2025-05-06,池袋店,124811,67
2025-05-07,池袋店,135546,73
2025-05-08,池袋店,147612,79
2025-05-09,池袋店,118163,64
2025-05-10,池袋店,153514,83
2025-05-11,池袋店,170045,92
2025-05-12,池袋店,107219,58
2025-05-13,池袋店,136508,73
2025-05-14,池袋店,120697,65
2025-05-15,池袋店,122021,66
2025-05-16,池袋店,143185,77
2025-05-17,池袋店,166301,90
2025-05-18,池袋店,190493,103
2025-05-19,池袋店,117471,63
2025-05-20,池袋店,126967,68
2025-05-21,池袋店,119954,64
2025-05-22,池袋店,154316,83
2025-05-23,池袋店,122551,66
2025-05-24,池袋店,182075,98
2025-05-25,池袋店,161949,87
2025-05-26,池袋店,129927,70
2025-05-27,池袋店,123112,66
2025-05-28,池袋店,149682,81
2025-05-29,池袋店,140452,76
2025-05-30,池袋店,148014,80
2025-05-31,池袋店,193486,104
2025-06-01,池袋店,140833,76
2025-06-02,池袋店,97864,53
2025-06-03,池袋店,102971,55
2025-06-04,池袋店,110548,59
2025-06-05,池袋店,120477,65
2025-06-06,池袋店,128288,69
2025-06-07,池袋店,145038,78
2025-06-08,池袋店,159556,86
2025-06-09,池袋店,115428,62
2025-06-10,池袋店,113443,61
2025-06-11,池袋店,110168,59
2025-06-12,池袋店,106302,57
2025-06-13,池袋店,127998,69
2025-06-14,池袋店,177441,96
2025-06-15,池袋店,166379,90
2025-06-16,池袋店,100750,54
2025-06-17,池袋店,113958,61
2025-06-18,池袋店,128066,69
2025-06-19,池袋店,116135,62
2025-06-20,池袋店,120576,65
2025-06-21,池袋店,168241,91
2025-06-22,池袋店,133089,72
2025-06-23,池袋店,96756,52
2025-06-24,池袋店,102439,55
2025-06-25,池袋店,136553,73
2025-06-26,池袋店,121687,65
2025-06-27,池袋店,117716,63
2025-06-28,池袋店,170473,92
2025-06-29,池袋店,156409,84
2025-06-30,池袋店,104877,56
2025-07-01,池袋店,132515,71
2025-07-02,池袋店,122341,66
2025-07-03,池袋店,142459,77
2025-07-04,池袋店,126176,68
2025-07-05,池袋店,185587,100
2025-07-06,池袋店,150975,81
2025-07-07,池袋店,117172,63
2025-07-08,池袋店,128130,69
2025-07-09,池袋店,132737,71
2025-07-10,池袋店,114950,62
2025-07-11,池袋店,132705,71
2025-07-12,池袋店,166402,90
2025-07-13,池袋店,147501,79
2025-07-14,池袋店,95891,51
2025-07-15,池袋店,138267,74
2025-07-16,池袋店,130301,70
2025-07-17,池袋店,144473,78
2025-07-18,池袋店,141436,76
2025-07-19,池袋店,161807,87
2025-07-20,池袋店,151004,81
2025-07-21,池袋店,99450,53
2025-07-22,池袋店,111471,60
2025-07-23,池袋店,140175,75
2025-07-24,池袋店,142013,76
2025-07-25,池袋店,132187,71
2025-07-26,池袋店,155544,84
2025-07-27,池袋店,164291,88
2025-07-28,池袋店,112054,60
2025-07-29,池袋店,136640,74
2025-07-30,池袋店,137967,74
2025-07-31,池袋店,117933,63
2025-08-01,池袋店,112599,60
2025-08-02,池袋店,157826,85
2025-08-03,池袋店,141614,76
2025-08-04,池袋店,83785,45
2025-08-05,池袋店,119219,64
2025-08-06,池袋店,112868,61
2025-08-07,池袋店,107187,58
2025-08-08,池袋店,97382,52
2025-08-09,池袋店,140599,76
2025-08-10,池袋店,141867,76
2025-08-11,池袋店,94387,51
2025-08-12,池袋店,101291,54
2025-08-13,池袋店,114878,62
2025-08-14,池袋店,104997,56
2025-08-15,池袋店,121656,65
2025-08-16,池袋店,155326,84
2025-08-17,池袋店,148502,80
2025-08-18,池袋店,107244,58
2025-08-19,池袋店,129242,70
2025-08-20,池袋店,114860,62
2025-08-21,池袋店,98464,53
2025-08-22,池袋店,106751,57
2025-08-23,池袋店,131283,71
2025-08-24,池袋店,141569,76
2025-08-25,池袋店,104667,56
2025-08-26,池袋店,121403,65
2025-08-27,池袋店,117548,63
2025-08-28,池袋店,113327,61
2025-08-29,池袋店,108245,58
