日付,店舗名,売上金額,客数
2025-01-01,渋谷店,152020,81
2025-01-02,渋谷店,157798,84
2025-01-03,渋谷店,196870,104
2025-01-04,渋谷店,229368,122
2025-01-05,渋谷店,254206,135
2025-01-06,渋谷店,135979,72
2025-01-07,渋谷店,171329,91
2025-01-08,渋谷店,197613,105
2025-01-09,渋谷店,160140,85
2025-01-10,渋谷店,176671,94
2025-01-11,渋谷店,223372,119
2025-01-12,渋谷店,235719,125
2025-01-13,渋谷店,130139,69
2025-01-14,渋谷店,181209,96
2025-01-15,渋谷店,153524,81
2025-01-16,渋谷店,197483,105
2025-01-17,渋谷店,170956,91
2025-01-18,渋谷店,235516,125
2025-01-19,渋谷店,213844,114
2025-01-20,渋谷店,126764,67
2025-01-21,渋谷店,148761,79
2025-01-22,渋谷店,197962,105
2025-01-23,渋谷店,183340,97
2025-01-24,渋谷店,195412,104
2025-01-25,渋谷店,193842,103
2025-01-26,渋谷店,195226,104
2025-01-27,渋谷店,138655,73
2025-01-28,渋谷店,169745,90
2025-01-29,渋谷店,148864,79
2025-01-30,渋谷店,183139,97
2025-01-31,渋谷店,148196,79
2025-02-01,渋谷店,202736,108
2025-02-02,渋谷店,198820,106
2025-02-03,渋谷店,115284,61
2025-02-04,渋谷店,149745,79
2025-02-05,渋谷店,134922,71
2025-02-06,渋谷店,127907,68
2025-02-07,渋谷店,127684,68
2025-02-08,渋谷店,207128,110
2025-02-09,渋谷店,206208,109
2025-02-10,渋谷店,111682,59
2025-02-11,渋谷店,155953,83
2025-02-12,渋谷店,159493,85
2025-02-13,渋谷店,147323,78
2025-02-14,渋谷店,155079,82
2025-02-15,渋谷店,208090,110
2025-02-16,渋谷店,214519,114
2025-02-17,渋谷店,115530,61
2025-02-18,渋谷店,164868,87
2025-02-19,渋谷店,153895,82
2025-02-20,渋谷店,138406,73
2025-02-21,渋谷店,128879,68
2025-02-22,渋谷店,200461,106
2025-02-23,渋谷店,168764,90
2025-02-24,渋谷店,144505,77
2025-02-25,渋谷店,133756,71
2025-02-26,渋谷店,170319,90
2025-02-27,渋谷店,170279,90
2025-02-28,渋谷店,155432,82
2025-03-01,渋谷店,186630,99
2025-03-02,渋谷店,206663,110
2025-03-03,渋谷店,152067,81
2025-03-04,渋谷店,137676,73
2025-03-05,渋谷店,164281,87
2025-03-06,渋谷店,164143,87
2025-03-07,渋谷店,167524,89
2025-03-08,渋谷店,190843,101
2025-03-09,渋谷店,214278,114
2025-03-10,渋谷店,143815,76
2025-03-11,渋谷店,169156,90
2025-03-12,渋谷店,171003,91
2025-03-13,渋谷店,163017,86
2025-03-14,渋谷店,134512,71
2025-03-15,渋谷店,212409,113
2025-03-16,渋谷店,209470,111
2025-03-17,渋谷店,138257,73
2025-03-18,渋谷店,150607,80
2025-03-19,渋谷店,140265,74
2025-03-20,渋谷店,162823,86
2025-03-21,渋谷店,168295,89
2025-03-22,渋谷店,190808,101
2025-03-23,渋谷店,215291,114
2025-03-24,渋谷店,143097,76
2025-03-25,渋谷店,144690,77
2025-03-26,渋谷店,175637,93
2025-03-27,渋谷店,169504,90
